EmployeeNumber,Age,Department,JobRole,OverTime,MonthlyIncome,Salary_Band,JobSatisfaction,WorkLifeBalance,EnvironmentSatisfaction,YearsAtCompany,TotalWorkingYears,Attrition_Flag,Attrition_Probability,Risk_Level
1,41,Sales,Sales Executive,Yes,5993,Mid,4,1,2,6,8,1,0.906,High
2,49,Research & Development,Research Scientist,No,5130,Mid,2,3,3,10,10,0,0.107,Low
4,37,Research & Development,Laboratory Technician,Yes,2090,Low,3,3,4,0,7,1,0.851,High
5,33,Research & Development,Research Scientist,Yes,2909,Low,3,3,4,8,8,0,0.528,Medium
7,27,Research & Development,Laboratory Technician,No,3468,Low,2,3,1,2,6,0,0.601,High
8,32,Research & Development,Laboratory Technician,No,3068,Low,4,2,4,7,8,0,0.284,Low
10,59,Research & Development,Laboratory Technician,Yes,2670,Low,1,2,3,1,12,0,0.559,Medium
11,30,Research & Development,Laboratory Technician,No,2693,Low,3,3,4,1,1,0,0.204,Low
12,38,Research & Development,Manufacturing Director,No,9526,High,3,3,4,9,10,0,0.305,Medium
13,36,Research & Development,Healthcare Representative,No,5237,Mid,3,2,3,7,17,0,0.226,Low
14,35,Research & Development,Laboratory Technician,No,2426,Low,2,3,1,5,6,0,0.229,Low
15,29,Research & Development,Laboratory Technician,Yes,4193,Mid,3,3,4,9,10,0,0.426,Medium
16,31,Research & Development,Research Scientist,No,2911,Low,3,2,1,5,5,0,0.46,Medium
18,34,Research & Development,Laboratory Technician,No,2661,Low,4,3,2,2,3,0,0.155,Low
19,28,Research & Development,Laboratory Technician,Yes,2028,Low,3,3,3,4,6,1,0.973,High
20,29,Research & Development,Manufacturing Director,No,9980,High,1,3,2,10,10,0,0.058,Low
21,32,Research & Development,Research Scientist,Yes,3298,Low,2,2,1,6,7,0,0.43,Medium
22,22,Research & Development,Laboratory Technician,Yes,2935,Low,4,2,4,1,1,0,0.354,Medium
23,53,Sales,Manager,No,15427,High,4,3,1,25,31,0,0.049,Low
24,38,Research & Development,Research Scientist,Yes,3944,Mid,4,3,4,3,6,0,0.517,Medium
26,24,Research & Development,Manufacturing Director,No,4011,Mid,3,2,1,4,5,0,0.017,Low
27,36,Sales,Sales Representative,No,3407,Low,1,3,3,5,10,1,0.815,High
28,34,Research & Development,Research Director,No,11994,High,2,3,1,12,13,0,0.021,Low
30,21,Research & Development,Research Scientist,No,1232,Low,4,3,3,0,0,0,0.222,Low
31,34,Research & Development,Research Scientist,No,2960,Low,1,3,2,4,8,1,0.438,Medium
32,53,Research & Development,Manager,No,19094,High,3,2,3,14,26,0,0.002,Low
33,32,Research & Development,Research Scientist,Yes,3919,Mid,1,3,2,10,10,1,0.957,High
35,42,Sales,Sales Executive,No,6825,High,2,3,3,9,10,0,0.353,Medium
36,44,Research & Development,Healthcare Representative,No,10248,High,4,3,1,22,24,0,0.026,Low
38,46,Sales,Manager,No,18947,High,1,2,2,2,22,0,0.292,Low
39,33,Research & Development,Laboratory Technician,No,2496,Low,4,3,3,1,7,0,0.468,Medium
40,44,Research & Development,Healthcare Representative,Yes,6465,Mid,4,4,4,4,9,0,0.123,Low
41,30,Research & Development,Laboratory Technician,No,2206,Low,3,3,4,10,10,0,0.567,Medium
42,39,Sales,Sales Representative,No,2086,Low,4,4,4,1,19,1,0.066,Low
45,24,Research & Development,Research Scientist,Yes,2293,Low,4,2,2,2,6,1,0.708,High
46,43,Research & Development,Research Scientist,No,2645,Low,3,2,4,5,6,0,0.012,Low
47,50,Sales,Sales Representative,Yes,2683,Low,3,3,1,3,3,1,0.941,High
49,35,Sales,Sales Representative,No,2014,Low,4,3,4,2,2,0,0.291,Low
51,36,Research & Development,Research Scientist,Yes,3419,Low,1,4,2,1,6,0,0.7,High
52,33,Sales,Sales Executive,No,5376,Mid,1,3,3,5,10,0,0.229,Low
53,35,Research & Development,Laboratory Technician,No,1951,Low,4,3,3,1,1,0,0.182,Low
54,27,Research & Development,Laboratory Technician,No,2341,Low,1,3,4,1,1,0,0.076,Low
55,26,Research & Development,Laboratory Technician,No,2293,Low,3,2,1,1,1,1,0.951,High
56,27,Sales,Sales Executive,No,8726,High,3,3,4,9,9,0,0.203,Low
57,30,Research & Development,Laboratory Technician,No,4011,Mid,4,3,3,12,12,0,0.197,Low
58,41,Research & Development,Research Director,No,19545,High,3,3,2,22,23,1,0.127,Low
60,34,Sales,Sales Executive,No,4568,Mid,3,3,2,9,10,0,0.444,Medium
61,37,Research & Development,Research Scientist,No,3022,Low,2,3,2,1,8,0,0.615,High
62,46,Sales,Sales Executive,Yes,5772,Mid,4,3,1,9,14,0,0.657,High
63,35,Research & Development,Laboratory Technician,No,2269,Low,4,3,4,1,1,0,0.059,Low
64,48,Research & Development,Laboratory Technician,Yes,5381,Mid,3,3,1,1,23,1,0.879,High
65,28,Research & Development,Laboratory Technician,Yes,3441,Low,3,2,3,2,2,1,0.933,High
68,44,Sales,Sales Executive,Yes,5454,Mid,1,2,2,4,9,0,0.702,High
70,35,Research & Development,Healthcare Representative,Yes,9884,High,1,3,3,4,10,0,0.345,Medium
72,26,Sales,Sales Executive,Yes,4157,Mid,4,2,3,2,5,0,0.812,High
73,33,Research & Development,Research Director,Yes,13458,High,4,3,1,15,15,0,0.095,Low
74,35,Sales,Sales Executive,No,9069,High,1,2,2,9,9,0,0.258,Low
75,35,Research & Development,Laboratory Technician,Yes,4014,Mid,1,3,3,2,4,0,0.855,High
76,31,Research & Development,Laboratory Technician,No,5915,Mid,4,2,4,7,10,0,0.026,Low
77,37,Research & Development,Manufacturing Director,No,5993,Mid,3,4,1,7,7,0,0.034,Low
78,32,Research & Development,Manufacturing Director,Yes,6162,Mid,4,3,1,9,9,0,0.466,Medium
79,38,Research & Development,Laboratory Technician,No,2406,Low,4,3,4,10,10,0,0.695,High
80,50,Research & Development,Research Director,Yes,18740,High,3,2,2,27,29,0,0.823,High
81,59,Sales,Sales Executive,No,7637,High,1,2,1,21,28,0,0.467,Medium
83,36,Research & Development,Healthcare Representative,No,10096,High,3,3,3,17,17,0,0.123,Low
84,55,Research & Development,Manager,Yes,14756,High,3,3,4,5,21,0,0.05,Low
85,36,Research & Development,Manufacturing Director,No,6499,Mid,2,3,2,6,6,0,0.534,Medium
86,45,Research & Development,Research Scientist,No,9724,High,1,3,2,1,25,0,0.068,Low
88,35,Research & Development,Research Scientist,No,2194,Low,1,2,2,3,5,0,0.537,Medium
90,36,Research & Development,Research Scientist,Yes,3388,Low,3,2,4,1,2,1,0.691,High
91,59,Sales,Sales Executive,No,5473,Mid,3,2,1,4,20,0,0.626,High
94,29,Research & Development,Research Scientist,No,2703,Low,2,3,3,5,6,0,0.026,Low
95,31,Research & Development,Research Scientist,No,2501,Low,2,3,3,1,1,0,0.306,Medium
96,32,Research & Development,Research Scientist,No,6220,Mid,2,3,2,10,10,0,0.045,Low
97,36,Research & Development,Laboratory Technician,No,3038,Low,4,3,2,1,5,0,0.295,Low
98,31,Research & Development,Manufacturing Director,No,4424,Mid,4,3,3,11,11,0,0.048,Low
100,35,Sales,Sales Executive,No,4312,Mid,1,3,3,15,16,0,0.438,Medium
101,45,Research & Development,Research Director,Yes,13245,High,1,4,4,0,17,0,0.162,Low
